ETF,偏好組合 Weight (%),最大夏普 Weight (%)
SCHF,37.25,0.0
SCHG,26.22,19.68
VOO,15.6,14.35
VB,14.030000000000001,0.0
IJH,3.66,0.0
SCHC,2.63,0.0
XLF,0.38,0.0
VO,0.24,0.0
HDV,0.0,40.0
DIVO,0.0,25.97
