Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),12.13,12.31
Capital Gain CAGR (%),11.21,12.13
Dividend Yield (%),1.91,2.75
"Estimated Total Return, No Reinvestment (%)",13.11,14.88
Expense Ratio (%),0.035,0.190
Annualized Volatility (%),17.39,13.12
Maximum Drawdown (%),-28.68,-17.35
Liquidity Volume (Millions),6.91,2.85
Liquidity AUM (Billions),211.97,162.00
True Portfolio HHI (Real),0.1421,0.1271
Weighted Sentiment Score,0.0766,0.1157
Sharpe Ratio,0.468,0.634
