Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),15.47,29.20
Capital Gain CAGR (%),15.82,32.60
Dividend Yield (%),4.27,1.80
"Estimated Total Return, No Reinvestment (%)",20.09,34.40
Expense Ratio (%),0.122,0.479
Annualized Volatility (%),12.50,13.95
Maximum Drawdown (%),-13.32,-14.33
Liquidity Volume (Millions),4.78,0.57
Liquidity AUM (Billions),47.35,12.32
True Portfolio HHI (Real),0.1247,0.1704
Weighted Sentiment Score,0.1581,0.0147
Sharpe Ratio,0.917,1.807
