ETF,偏好組合 Weight (%),最大夏普 Weight (%)
SCHF,40.0,0.0
IUSV,32.31,0.0
JEPI,27.689999999999998,0.0
HDV,0.0,9.790000000000001
EMLP,0.0,40.0
SPMO,0.0,40.0
ITA,0.0,10.209999999999999
