Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),23.65,29.22
Capital Gain CAGR (%),24.95,32.62
Dividend Yield (%),1.77,1.80
"Estimated Total Return, No Reinvestment (%)",26.72,34.42
Expense Ratio (%),0.045,0.479
Annualized Volatility (%),16.54,13.95
Maximum Drawdown (%),-18.82,-14.33
Liquidity Volume (Millions),4.74,0.57
Liquidity AUM (Billions),56.11,12.32
True Portfolio HHI (Real),0.1501,0.1704
Weighted Sentiment Score,0.0549,0.0147
Sharpe Ratio,1.188,1.809
