ETF,偏好組合 Weight (%),最大夏普 Weight (%)
SCHF,29.53,0.0
SCHG,15.42,0.0
VT,14.01,0.0
SPYG,13.71,0.0
VXF,10.99,0.0
SCHA,5.7299999999999995,0.0
SPMO,4.53,40.0
VB,4.26,0.0
SCHC,1.81,0.0
HDV,0.0,9.790000000000001
EMLP,0.0,40.0
ITA,0.0,10.209999999999999
