Strategy,Cumulative_Return_%,CAGR_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%
Preference_Driven,54.78438095725724,8.605017332949028,15.345848189256989,0.3551685341800046,-27.231676956533548,1640000.0,2414388.994202201,774388.9942022008,47.21884110989029
VOO,111.2726917496666,15.180981664438931,16.660444934488083,0.6933230022634781,-24.520717987550544,1640000.0,3133761.4375385228,1493761.4375385228,91.08301448405626
