ETF,偏好組合 Weight (%),最大夏普 Weight (%)
JEPI,40.0,0.0
SCHY,37.53,0.0
SCHD,22.470000000000002,0.0
HDV,0.0,9.77
EMLP,0.0,40.0
SPMO,0.0,40.0
ITA,0.0,10.23
