Rebalance_Date,Next_Rebalance_Date,Feature_Universe,DEA_Universe,Candidate_Universe,Selected_Universe,Optimized_Holdings
2020-06-30,2020-07-31,382,234,59,29,29
2020-07-31,2020-08-31,382,234,59,30,30
2020-08-31,2020-09-30,382,234,59,30,30
2020-09-30,2020-11-02,382,234,59,31,31
2020-11-02,2020-11-30,382,234,59,30,30
2020-11-30,2020-12-31,382,234,59,31,31
2020-12-31,2021-02-01,382,234,59,31,31
2021-02-01,2021-03-01,382,234,59,31,31
2021-03-01,2021-03-31,382,234,59,32,32
2021-03-31,2021-04-30,382,234,59,32,32
2021-04-30,2021-06-01,382,234,59,32,32
2021-06-01,2021-06-30,382,234,59,31,31
2021-06-30,2021-08-02,382,234,59,32,32
2021-08-02,2021-08-31,382,234,59,31,31
2021-08-31,2021-09-30,382,234,59,33,33
2021-09-30,2021-11-01,382,234,59,33,33
2021-11-01,2021-11-30,382,234,59,33,33
2021-11-30,2021-12-31,382,234,59,32,32
2021-12-31,2022-01-31,382,234,59,33,33
2022-01-31,2022-02-28,382,234,59,31,31
2022-02-28,2022-03-31,382,234,59,31,31
2022-03-31,2022-05-02,382,234,59,33,33
2022-05-02,2022-05-31,382,234,59,36,36
2022-05-31,2022-06-30,382,234,59,35,35
2022-06-30,2022-08-01,382,234,59,36,36
2022-08-01,2022-08-31,382,234,59,37,37
2022-08-31,2022-09-30,382,234,59,35,35
2022-09-30,2022-10-31,382,234,59,34,34
2022-10-31,2022-11-30,382,234,59,36,36
2022-11-30,2023-01-03,382,234,59,36,36
2023-01-03,2023-01-31,382,234,59,36,36
2023-01-31,2023-02-28,382,234,59,35,35
2023-02-28,2023-03-31,382,234,59,35,35
2023-03-31,2023-05-01,382,234,59,35,35
2023-05-01,2023-05-31,382,234,59,34,34
2023-05-31,2026-05-22,382,234,59,33,33
