Rebalance_Date,ETF,Weight
2019-07-01,SCHD,0.4
2019-07-01,SPY,0.2
2019-07-01,SCHF,0.4
2019-07-01,VTV,0.0
2019-07-01,VYM,0.0
2019-07-01,VIG,0.0
2019-07-01,HDV,0.0
2019-07-01,DGRO,0.0
2019-07-01,USMV,0.0
2019-07-01,VO,0.0
2019-07-01,SPYD,0.0
2019-07-01,XLP,0.0
2019-07-01,XLK,0.0
2019-07-01,IJH,0.0
2019-07-01,SPYV,0.0
2019-07-01,VUG,0.0
2019-07-01,XLU,0.0
2019-07-01,IUSV,0.0
2019-07-01,XLV,0.0
2019-07-01,VONV,0.0
2019-07-01,VOE,0.0
2019-07-01,SPTM,0.0
2019-07-01,SCHM,0.0
2019-07-01,SPYG,0.0
2019-07-01,SPLV,0.0
2019-07-01,VB,0.0
2019-07-01,VTHR,0.0
2019-07-01,VOT,0.0
2019-07-01,SPMD,0.0
2019-07-01,SPSM,0.0
2019-07-01,SDY,0.0
2019-07-01,ILCG,0.0
2019-07-01,IMCG,0.0
2019-07-01,DVY,0.0
2019-07-01,VBK,0.0
2019-07-01,FVD,0.0
2019-07-01,FDL,0.0
2019-07-01,PTLC,0.0
2019-09-30,SCHD,0.4
2019-09-30,IVV,0.116004
2019-09-30,USMV,0.0
2019-09-30,VTV,0.083996
2019-09-30,VIG,0.0
2019-09-30,DGRO,0.0
2019-09-30,XLU,0.0
2019-09-30,VYM,0.0
2019-09-30,SCHF,0.4
2019-09-30,HDV,0.0
2019-09-30,VUG,0.0
2019-09-30,VO,0.0
2019-09-30,SPLV,0.0
2019-09-30,XLP,0.0
2019-09-30,SPYD,0.0
2019-09-30,SPYV,0.0
2019-09-30,VT,0.0
2019-09-30,IJH,0.0
2019-09-30,IUSV,0.0
2019-09-30,XLRE,0.0
2019-09-30,XLV,0.0
2019-09-30,SPYG,0.0
2019-09-30,SPTM,0.0
2019-09-30,VNQ,0.0
2019-09-30,VOE,0.0
2019-09-30,SCHM,0.0
2019-09-30,VB,0.0
2019-09-30,ILCG,0.0
2019-09-30,VOT,0.0
2019-09-30,REET,0.0
2019-09-30,SDY,0.0
2019-09-30,FVD,0.0
2019-09-30,DVY,0.0
2019-09-30,SPMD,0.0
2019-09-30,VBK,0.0
2019-09-30,SPSM,0.0
2019-09-30,FDL,0.0
2019-09-30,PTLC,0.0
2019-12-31,SCHD,0.4
2019-12-31,SPY,0.110182
2019-12-31,SCHF,0.4
2019-12-31,VTV,0.089818
2019-12-31,XLU,0.0
2019-12-31,USMV,0.0
2019-12-31,VIG,0.0
2019-12-31,VYM,0.0
2019-12-31,DGRO,0.0
2019-12-31,XLK,0.0
