ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
EFAV,3.0,2026-03-31,14.1208,3.03,10.6759,-9.2078,0.2,0.4709928191489362,5.26,,-0.042234
SCHC,3.0,2026-03-31,15.4172,3.65,15.4113,-15.5168,0.08,0.43037699468085105,5.61,7.7519,0.02367
SPXL,3.0,2026-03-31,37.4646,0.8,44.0258,-48.9484,0.84,5.785013829787234,6.73,4.2941,-0.194666
KBWB,3.0,2026-03-31,27.1493,2.27,24.5027,-25.4269,0.35,1.5299007978723405,5.32,0.8,0.173465
XMHQ,3.0,2026-03-31,14.517,0.6,18.7333,-24.5574,0.25,0.3022267287234042,5.33,6.169,-0.066211
JHMM,3.0,2026-03-31,13.1349,0.95,16.3929,-21.8757,0.41,0.21735239361702127,5.59,7.3746,-0.063347
EWC,3.0,2026-03-31,19.4558,1.42,15.2947,-12.9723,0.5,2.115640425531915,5.48,,-0.019098
GNR,3.0,2026-03-31,13.3997,2.31,17.733,-21.1483,0.4,0.2941934840425532,4.88,,-0.172198
DSI,3.0,2026-03-31,17.0937,1.0,15.8582,-20.5766,0.25,0.12494534574468084,5.34,3.8406,0.108712
XME,3.0,2026-03-31,27.4968,0.35,29.1122,-30.4708,0.35,2.4487788563829787,5.27,1.3657,0.317938
ILF,3.0,2026-03-31,20.4558,3.78,20.8122,-23.9675,0.47,1.6483335106382977,4.42,,0.272242
NLR,3.0,2026-03-31,37.3074,2.4,33.1544,-30.475,0.56,0.24405558510638298,4.87,,0.153477
FDN,3.0,2026-03-31,16.5382,0.0,21.8059,-24.9794,0.49,0.5044265957446809,5.44,2.5765,0.07248
REET,3.0,2026-03-31,6.7809,3.65,15.4363,-18.0235,0.14,0.9330234042553192,4.77,0.8044,-0.198366
FEZ,3.0,2026-03-31,14.6157,2.85,17.4743,-15.8468,0.29,1.6321234042553192,4.51,,-0.047024
UPRO,3.0,2026-03-31,37.2741,1.04,44.1566,-48.8691,0.89,5.6005264627659574,,,-0.193253
RSPT,3.0,2026-03-31,18.4808,0.38,22.3739,-26.6219,0.4,0.4833441489361702,5.64,1.0,-0.070591
IYR,3.0,2026-03-31,6.3471,2.38,16.8661,-17.5235,0.38,6.33766755319149,4.87,0.8478,-0.103383
KRE,3.0,2026-03-31,17.4732,2.42,30.1704,-28.201,0.35,16.22939029255319,3.8,1.0,-0.030935
SLYG,3.0,2026-03-31,10.6444,0.8,20.0841,-27.3868,0.15,0.1523409574468085,4.72,6.3452,0.2845
SLYV,3.0,2026-03-31,9.969,2.01,21.6084,-28.6782,0.15,0.2341158244680851,4.68,7.3475,0.240548
VTHR,3.0,2026-03-31,17.7315,1.16,15.2281,-19.3594,0.06,0.03246436170212766,4.71,5.6529,0.302537
EMLP,3.0,2026-03-31,22.0804,2.75,12.9241,-11.4673,0.95,0.23613936170212768,3.93,1.8579,0.210389
IVLU,3.0,2026-03-31,22.2051,3.56,14.9844,-15.4845,0.31,0.5164849734042554,4.3,,0.115988
IMTM,3.0,2026-03-31,17.9406,2.3,16.1438,-12.8485,0.3,0.3541688829787234,4.0,,0.007095
DON,3.0,2026-03-31,11.254,2.41,16.3613,-21.4558,0.38,0.15210678191489363,3.87,6.8074,-0.052101
TECL,3.0,2026-03-31,35.7375,9.64,68.9795,-66.5843,0.87,1.936729255319149,7.29,0.8,0.508532
TDIV,3.0,2026-03-31,22.0958,1.5,19.7757,-23.0021,0.5,0.10899162234042553,4.66,0.9856,0.141422
DEM,3.0,2026-03-31,15.4128,4.32,14.3011,-15.639,0.63,0.3034240691489362,4.03,,0.216251
IXJ,3.0,2026-03-31,5.4198,1.45,13.4024,-18.1433,0.4,0.18584507978723405,3.67,0.8881,0.254096
EUFN,3.0,2026-03-31,29.2205,3.81,18.3503,-15.9484,0.49,0.9710037234042553,3.64,,-0.09803
USRT,3.0,2026-03-31,8.7134,2.89,17.1011,-18.705,0.08,0.2944941489361702,4.05,0.8,-0.127073
IWX,3.0,2026-03-31,14.6928,1.66,12.1102,-13.3658,0.2,0.19298284574468086,3.49,8.1037,0.275635
AIA,3.0,2026-03-31,22.979,1.46,23.4916,-21.6352,0.5,0.12341156914893617,5.4,,0.09193
SUSA,3.0,2026-03-31,15.9276,0.97,14.9337,-19.3002,0.25,0.1684529255319149,4.29,4.4723,0.406257
XT,3.0,2026-03-31,12.1886,8.13,18.7292,-22.0937,0.46,0.12270026595744682,4.07,3.4495,0.085374
VIOO,3.0,2026-03-31,10.5059,1.31,20.6224,-27.9293,0.07,0.12235252659574468,3.88,7.3206,0.047885
VNQI,3.0,2026-03-31,7.8565,4.87,14.3964,-16.3466,0.12,0.2763515957446808,3.49,,0.117261
IDMO,3.0,2026-03-31,22.6022,2.06,16.5418,-12.6541,0.25,0.1739900265957447,3.77,,0.006882
AAXJ,3.0,2026-03-31,14.64,1.76,18.1233,-19.7366,0.72,0.6111893617021276,4.02,,0.014853
EWU,3.0,2026-03-31,16.811,3.64,14.0558,-12.6349,0.5,1.7970308510638298,3.45,,-0.228133
SMLF,3.0,2026-03-31,15.2126,1.17,19.8962,-26.2771,0.15,0.13231728723404257,3.93,6.993,0.242099
XOP,3.0,2026-03-31,15.2806,1.79,27.5558,-34.9772,0.35,3.649955984042553,3.37,1.0,-0.07921
FV,3.0,2026-03-31,10.6637,0.64,19.2588,-23.0798,0.89,0.1449839095744681,3.78,,-0.224751
IYF,3.0,2026-03-31,20.1187,1.62,16.975,-16.5958,0.38,0.2819848404255319,3.5,0.8456,-0.045717
GCOW,3.0,2026-03-31,16.888,4.42,12.2416,-12.3539,0.6,0.290769414893617,3.35,,0.042859
IMCG,3.0,2026-03-31,11.9326,0.8,17.0852,-21.9153,0.06,0.1341752659574468,3.75,4.8426,-0.07984
EEMV,3.0,2026-03-31,9.0545,2.65,10.6407,-12.4728,0.25,0.3999599734042553,3.7,,0.0
IVOO,3.0,2026-03-31,12.1141,1.33,18.1213,-24.0832,0.07,0.07483630319148936,3.61,6.592,-0.176811
INTF,3.0,2026-03-31,17.6271,2.78,14.7627,-13.6421,0.16,0.18574587765957448,3.46,,0.038038
SPHD,3.0,2026-03-31,9.9854,4.31,12.992,-13.2914,0.3,0.6948359042553192,3.23,,-0.107236
ACWV,3.0,2026-03-31,9.7791,2.08,8.9462,-7.5595,0.2,0.1859503989361702,3.28,,0.032614
FNDC,3.0,2026-03-31,15.7718,3.78,14.2742,-12.9822,0.39,0.1971632978723404,3.07,6.6181,0.043718
MLPX,3.0,2026-03-31,29.2445,4.06,16.8796,-16.7678,0.45,0.2756401595744681,3.54,0.8,0.133169
IHI,3.0,2026-03-31,0.0775,0.42,16.5427,-22.8432,0.38,1.067549069148936,2.99,0.8,0.246234
VAW,3.0,2026-03-31,10.0384,1.41,17.5575,-23.2141,0.09,0.06240890957446808,3.06,0.8,-0.062794
PTLC,3.0,2026-03-31,12.3456,1.13,12.1425,-15.17,0.6,0.19781422872340426,3.36,5.2219,0.07159
XYLD,3.0,2026-03-31,10.2047,10.98,10.3075,-15.5279,0.6,0.639146409574468,3.17,4.014,-0.090739
NFRA,3.0,2026-03-31,11.4903,5.74,11.5142,-11.1536,0.47,0.09360531914893616,3.06,,-0.082792
LRGF,3.0,2026-03-31,18.3391,1.23,15.2039,-19.4426,0.08,0.14526037234042552,3.5,5.123,0.267325
IYH,3.0,2026-03-31,5.4092,1.31,13.8583,-17.9095,0.38,0.40555691489361706,3.12,0.8,0.100951
FHLC,3.0,2026-03-31,6.1348,1.44,13.7757,-16.8692,0.084,0.15378710106382978,2.99,0.8,0.1939
ILCG,3.0,2026-03-31,20.5978,0.5,19.3276,-23.1053,0.04,0.08466981382978724,3.25,2.5341,0.0
IXC,3.0,2026-03-31,19.6534,2.68,19.2653,-19.0609,0.4,0.6317347074468085,2.52,,0.011149
REMX,3.0,2026-03-31,4.0399,1.48,38.5827,-62.1135,0.58,0.39398683510638294,3.01,,0.17779
PXF,3.0,2026-03-31,21.009,3.48,14.6666,-14.0585,0.43,0.08203005319148937,2.94,,0.135555
QTEC,3.0,2026-03-31,18.3209,0.0,25.7819,-29.0044,0.55,0.1633315159574468,3.66,1.1777,-0.023644
PRFZ,3.0,2026-03-31,13.1313,0.95,20.5034,-26.5235,0.34,0.14090890957446808,2.72,6.9735,0.180191
IYY,3.0,2026-03-31,17.8848,1.01,14.9999,-19.0596,0.2,0.03574295212765958,3.0,5.3735,-0.18982
SQQQ,3.0,2026-03-31,-48.7272,5.78,58.5444,-90.699,0.95,15.450963085106382,2.23,,-0.237877
WTV,3.0,2026-03-31,19.4204,1.79,15.4356,-18.49,0.12,0.07797885638297872,3.01,8.1037,0.232869
MDYG,3.0,2026-03-31,12.9774,0.7,18.5962,-25.4525,0.15,0.1443811170212766,2.83,5.0839,-0.076066
CQQQ,3.0,2026-03-31,0.5913,2.47,34.0971,-40.4224,0.65,0.5425349734042554,3.16,,0.045489
FUTY,3.0,2026-03-31,13.8041,2.5,15.9548,-18.5293,0.084,0.2470033244680851,2.35,0.8,0.179736
ITB,3.0,2026-03-31,9.7993,1.25,27.3244,-33.3535,0.38,2.4558922872340427,2.56,1.3095,-0.154147
