ETF,偏好組合 Weight (%),最大夏普 Weight (%)
SCHF,40.0,0.0
JEPI,40.0,0.0
VTV,9.17,0.0
SCHD,6.800000000000001,0.0
VYM,4.03,0.0
HDV,0.0,9.719999999999999
EMLP,0.0,40.0
SPMO,0.0,40.0
ITA,0.0,10.280000000000001
