Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),14.00,29.18
Capital Gain CAGR (%),14.18,32.56
Dividend Yield (%),5.23,1.80
"Estimated Total Return, No Reinvestment (%)",19.42,34.36
Expense Ratio (%),0.160,0.479
Annualized Volatility (%),12.14,13.96
Maximum Drawdown (%),-12.87,-14.33
Liquidity Volume (Millions),6.29,0.57
Liquidity AUM (Billions),70.47,12.32
True Portfolio HHI (Real),0.1235,0.1705
Weighted Sentiment Score,0.0784,0.0145
Sharpe Ratio,0.824,1.803
