ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score,User_Pref_Score
SCHF,3.0,2026-04-14,13.92,3.4,15.1,-14.51,0.03,8.49,66.49,6.7935,0.082635,0.609436956286401
CGDV,3.0,2026-04-14,21.57,1.34,13.66,-14.53,0.33,2.59,35.17,5.9453,0.206866,0.5881344255797127
VTV,3.0,2026-04-14,13.09,2.02,12.44,-15.51,0.03,2.69,178.9,7.7042,0.065957,0.5873824855214994
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,19.93,2.9293,-0.122417,0.5765829022296384
VYM,3.0,2026-04-14,12.77,2.37,12.83,-15.02,0.04,1.27,78.86,7.9681,0.049849,0.573990409635937
VOO,3.0,2026-04-14,18.64,1.19,14.85,-18.97,0.03,6.35,994.36,5.7637,-0.100432,0.5711059298920165
VT,3.0,2026-04-14,16.4,1.82,14.26,-16.79,0.06,2.31,76.01,6.0024,0.079428,0.5652471237978759
SCHV,3.0,2026-04-18,13.07,1.97,12.85,-16.22,0.04,1.88,15.54,7.6161,0.21869,0.5614313937659796
DGRO,3.0,2026-04-14,12.63,2.1,12.08,-14.97,0.08,1.72,40.46,7.0671,0.092719,0.5582925533384835
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,19.77,8.569,0.220686,0.5489849951114819
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,18.88,5.1921,0.253952,0.5474111988648649
SCHY,3.0,2026-04-15,10.81,3.53,12.5,-13.64,0.08,0.28,2.27,8.5034,0.01018,0.5462945839455343
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,26.01,8.2508,0.317251,0.5462512135248876
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,25.12,0.8,-0.303708,0.5431839052756601
VIG,3.0,2026-04-14,12.81,1.61,12.41,-15.36,0.04,1.1,108.57,6.2267,0.068892,0.5417128271886335
SCHD,3.0,2026-04-14,7.87,3.44,13.39,-17.64,0.06,13.72,94.95,6.9541,0.06886,0.5375513192607856
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,6.11,7.5301,0.349961,0.5303331556160427
IWX,3.0,2026-04-15,13.45,1.66,12.3,-13.98,0.2,0.19,3.49,8.1037,0.346543,0.5291650992195992
DYNF,3.0,2026-04-14,23.65,1.03,15.83,-18.98,0.26,1.81,36.68,3.6697,-0.014195,0.5279724576235406
SCHG,3.0,2026-04-14,23.92,0.43,19.43,-23.47,0.04,8.2,61.46,3.1287,0.151656,0.5232953872849541
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.41,4.7676,0.189477,0.5225324285791888
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,23.09,6.6445,0.264064,0.5202265520905481
JMOM,3.0,2026-04-15,22.72,0.88,16.44,-19.66,0.12,0.07,2.4,4.5809,0.207163,0.5181362743966433
SCHC,3.0,2026-04-15,13.57,3.65,15.88,-16.62,0.08,0.43,5.61,7.7519,-0.116772,0.5169052823979912
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,6.27,0.8,0.197914,0.5136247955934854
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,53.86,3.3529,-0.124666,0.5124669862133452
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,9.07,7.9365,0.288894,0.5103548246985772
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,30.22,1.0,-0.220554,0.49871015351334985
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,22.55,8.0775,0.002582,0.4963397765524462
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,8.37,0.921,0.164767,0.4962901257832967
SNPE,3.0,2026-04-15,19.19,1.05,15.17,-19.64,0.1,0.25,2.75,4.0465,0.210344,0.49555213009349086
VO,3.0,2026-04-14,12.73,1.51,14.91,-19.71,0.03,0.67,103.02,8.2576,0.007794,0.49521147325785364
USCA,3.0,2026-04-15,18.09,1.24,15.02,-19.36,0.07,0.05,3.25,6.068,0.0,0.4946142876775172
XLF,3.0,2026-04-14,16.37,1.6,16.25,-15.85,0.08,42.96,49.42,0.8296,-0.402677,0.47067268661438433
EMLP,3.0,2026-04-15,17.04,2.75,13.05,-12.17,0.95,0.24,3.93,1.8579,0.119192,0.470049506788868
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,14.33,0.8016,-0.025268,0.4527100568665265
JEPI,3.0,2026-04-14,1.85,8.4,10.43,-15.93,0.35,4.15,44.59,8.0321,0.081496,0.44374433777450656
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,7.11,6.0827,0.094262,0.4415163646435277
IJH,3.0,2026-04-14,12.91,1.32,18.14,-24.62,0.05,8.86,119.12,6.5789,-0.00233,0.4359516890141791
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,22.78,6.6094,0.236204,0.4289352985615139
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.21,7.1582,-0.132143,0.42772851691061664
VB,3.0,2026-04-14,13.8,1.34,19.09,-25.94,0.03,0.75,78.61,7.0225,0.187862,0.42725566502924583
ACIO,3.0,2026-04-15,13.3,0.42,9.99,-12.24,0.79,0.13,2.38,4.4053,0.882314,0.4256013972273497
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,14.58,7.1839,-0.011794,0.42023298749797455
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,30.13,6.9493,-0.00718,0.4199118872103828
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,6.91,5.3447,-0.13155,0.4087205093029964
HELO,2.5,2026-04-15,12.04,0.66,8.14,-11.02,0.5,0.28,4.13,4.1841,0.084847,0.4079777039157325
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,14.65,0.8,-0.325488,0.36470276845800903
