ETF,Norm_Return_CAGR,Norm_Return_Div,Norm_Div_Score,Norm_FinBERT,Norm_Liq_Volume,Norm_Liq_AUM,Norm_Risk_Vol,Norm_Risk_MaxDD,Norm_Cost_ExpRatio
VOO,0.8258361938213455,0.15573267933782986,0.6601586512505547,0.4211360697149647,0.7277279036511125,1.0,0.4946039035591274,0.397193754359607,1.0
VTV,0.5489343019078788,0.4101778050275912,0.9194770067939941,0.7131871904650241,0.44495200342690194,0.7349515439852431,0.7712973593570609,0.6292590009121638,1.0
IJH,0.5399537000079826,0.19558553034947926,0.7690977511933589,0.5933277353167913,0.8482890874885348,0.6558799414032086,0.11687715269804788,0.018243279497772713,0.9166666666666665
VIG,0.5349644767302625,0.2844880441446971,0.7220315698883348,0.7183387932717086,0.2136303602241484,0.6378836878784723,0.7747416762342135,0.6393196329881417,0.9583333333333333
VO,0.5309730981080863,0.25383200490496677,0.9934305125696907,0.6110976933457091,0.11960874344114099,0.627707716419476,0.48771526980482194,0.3475613027847826,1.0
SCHD,0.2884968468108884,0.8454935622317613,0.8192375332082513,0.7182826258816528,1.0,0.6118984884822426,0.6622273249138919,0.4863980254332776,0.8749999999999998
VYM,0.5329687874191744,0.5174739423666472,0.954743234069394,0.6849139304956633,0.24557465633281203,0.5759653251009357,0.7265212399540757,0.6621237323603583,0.9583333333333333
VB,0.5843577871796917,0.20171673819742533,0.828378154449772,0.9271586181137027,0.13881088773117745,0.5753515243560857,0.007807118254879231,0.0,1.0
SCHF,0.5903448551129559,0.8332311465358692,0.7977757821645634,0.7424609320697545,0.8325934011756225,0.5430188490610364,0.46590126291618816,0.6963298814186831,1.0
SCHG,1.0,0.0,0.308030917750445,0.8636087267273933,0.8198574856374131,0.5278562107130544,0.0,0.09537479208027,0.9583333333333333
XLF,0.7125808254170989,0.28142244022072405,0.0007911180957573668,0.0,1.0,0.48593530475725233,0.3338691159586681,0.6064549015399472,0.7916666666666663
JEPI,0.0,1.0,0.9632958621316358,0.7404617240299544,0.5817574760435218,0.46622181651654593,1.0,0.6010892310994257,0.0
DGRO,0.5259838748303662,0.4347026364193755,0.8343382671306468,0.7601606808611024,0.31979108542393125,0.4476320689998814,0.8126291618828931,0.6654772763856842,0.7916666666666663
XLV,0.0574958090524467,0.31514408338442734,0.0,0.0,0.8894397006696548,0.4369084952404879,0.6231917336394948,0.45487471159521353,0.7916666666666663
IUSV,0.5209946515526461,0.34580012262415766,0.9925217958380775,1.0,0.1317149594430564,0.3637422790852519,0.6989667049368541,0.42469281536728,0.9583333333333333
USMV,0.311946196216173,0.278356836296751,0.7778641949571566,1.0,0.4255966648108843,0.3413446852952854,0.9963260619977038,1.0,0.4999999999999991
VOE,0.5189989622415581,0.40098099325567216,0.9693628826632886,0.6019494296903634,0.02618997559600091,0.3369064875476515,0.58300803673938,0.3636583141063473,0.9166666666666665
SPSM,0.45912828290891655,0.278356836296751,0.8478888372167611,0.35848310133860944,0.3287449888738178,0.26926656415563405,0.0,0.0,1.0
XLP,0.021074479125089782,0.603310852237892,0.0,0.026110815452210688,0.9968166683257218,0.2569059768061041,0.8091848450057406,0.6936470461984223,0.7916666666666663
HDV,0.3338987786381415,0.6860821581851638,0.5270450135505701,0.9299933160805837,0.08367834829047349,0.24074583125847032,0.8597014925373134,0.9579063153941085,0.7916666666666663
SPLV,0.1607727309012532,0.44083384426732153,0.6041656644055657,0.36651679334753445,0.4065062012838482,0.12332676644264098,0.9423650975889784,0.9639426946396953,0.0833333333333317
DIVO,0.30496128362736474,1.0,0.7027881567482909,0.7628690022003578,0.06163971275006012,0.12821504661275102,0.9389207807118255,0.7781563556366368,0.0
SCHC,0.5728825736409354,0.9098712446351949,0.9258513873966335,0.3924555961676991,0.0559400244436948,0.08817822959226308,0.37634902411021787,0.5548103235499273,0.7916666666666663
SCHY,0.43518001117586,0.8730839975475185,1.0,0.615285674366748,0.010465026423612871,0.0,0.7644087256027554,0.7546815474593549,0.7916666666666663
SCHV,0.5479364572523348,0.3948497854077261,0.9077037797270643,0.9812688775087518,0.3432472386470683,0.2677339150508663,0.7242250287026406,0.5816386757525351,0.9583333333333333
