ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,30.22,1.0,-0.220554
EFV,3.0,2026-04-14,16.2,4.01,14.94,-13.72,0.31,2.69,30.12,,0.004547
ACWI,3.0,2026-04-14,16.74,1.59,14.38,-16.55,0.32,3.38,32.93,5.7339,0.085814
MGK,3.0,2026-04-14,24.58,0.39,19.92,-23.53,0.05,0.37,34.6,2.3923,0.232623
IDEV,3.0,2026-04-14,12.68,3.37,14.96,-13.5,0.04,1.13,30.65,,-0.042414
TQQQ,3.0,2026-04-14,54.95,0.75,58.59,-58.3,0.82,144.82,39.77,,0.072766
IUSG,3.0,2026-04-14,23.31,0.58,18.61,-22.38,0.04,0.51,32.58,2.7739,0.287339
EEM,3.0,2026-04-14,15.53,2.16,17.67,-18.67,0.72,29.08,30.33,,0.075148
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,30.13,6.9493,-0.00718
XLU,3.0,2026-04-14,10.51,2.59,16.14,-19.69,0.08,25.61,22.35,0.8,-0.325622
MDY,3.0,2026-04-14,12.77,1.16,18.16,-24.5,0.23,0.91,26.4,6.6667,-0.03269
SOXX,3.0,2026-04-14,41.08,0.51,35.24,-41.67,0.34,4.56,38.37,0.863,0.046244
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,26.01,8.2508,0.317251
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,25.12,0.8,-0.303708
AVUV,3.0,2026-04-14,16.19,1.41,21.56,-29.36,0.25,0.81,27.08,5.9032,-0.131837
FNDX,3.0,2026-04-14,16.11,1.62,13.33,-17.01,0.25,2.76,25.47,8.5106,0.291838
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,24.55,8.4962,0.082389
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,23.09,6.6445,0.264064
DVY,3.0,2026-04-14,8.88,3.46,14.34,-17.46,0.38,0.52,22.36,6.0864,0.139262
MTUM,3.0,2026-04-14,22.97,0.82,19.85,-21.2,0.15,0.77,26.66,4.415,0.048065
VOOG,3.0,2026-04-14,23.85,0.54,18.86,-22.3,0.07,0.19,26.45,3.272,0.207929
XLY,3.0,2026-04-14,15.87,0.82,20.72,-26.35,0.08,9.17,23.78,0.8162,-0.344439
AVEM,3.0,2026-04-14,17.55,2.45,17.47,-19.75,0.33,0.71,26.03,,0.076748
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,22.55,8.0775,0.002582
VBK,3.0,2026-04-14,14.48,0.52,20.99,-27.76,0.05,0.25,23.93,5.8582,0.172818
RDVY,3.0,2026-04-14,17.13,1.03,17.0,-19.84,0.47,0.94,22.37,4.81,0.064969
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,22.78,6.6094,0.236204
SDY,3.0,2026-04-14,6.2,2.53,12.4,-15.57,0.35,0.32,21.03,7.5019,-0.049198
CGGR,3.0,2026-04-14,23.84,0.11,19.06,-23.37,0.39,1.98,24.64,5.6818,0.241425
EMXC,3.0,2026-04-14,19.64,2.64,16.98,-20.5,0.25,2.11,24.61,,0.02134
EWJ,3.0,2026-04-14,14.88,4.33,19.0,-15.99,0.49,6.51,21.3,,-0.061503
DFIV,3.0,2026-04-14,18.57,2.73,14.78,-15.02,0.27,0.92,20.04,,0.266003
IYW,3.0,2026-04-14,29.3,0.15,23.39,-26.51,0.38,0.92,25.22,1.1569,0.023786
IWP,3.0,2026-04-14,13.82,0.36,19.35,-25.26,0.23,0.89,20.54,5.8582,-0.125199
VYMI,3.0,2026-04-14,15.78,3.64,14.05,-13.53,0.07,0.63,19.5,,0.106356
DFUS,3.0,2026-04-14,18.85,0.97,15.28,-19.61,0.09,0.41,20.88,5.8858,0.0
AVDV,3.0,2026-04-14,21.2,3.0,16.15,-14.17,0.36,0.52,19.88,,0.112611
OEF,3.0,2026-04-14,21.26,0.98,15.95,-19.97,0.2,0.45,20.72,3.7418,-0.034042
EWY,3.0,2026-04-14,30.87,1.69,28.77,-29.06,0.59,5.28,25.45,,0.104535
IWV,3.0,2026-04-14,18.35,0.99,15.24,-19.48,0.2,0.19,19.82,5.7504,0.182591
COWZ,3.0,2026-04-14,9.09,2.06,15.35,-22.64,0.49,2.04,18.47,6.7159,0.338661
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,19.77,8.569,0.220686
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,53.86,3.3529,-0.124666
VOT,3.0,2026-04-15,12.61,0.72,17.8,-21.91,0.05,0.19,19.21,5.8343,0.015431
SPEM,3.0,2026-04-15,13.4,2.84,15.97,-18.92,0.07,1.94,17.97,,0.053185
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,18.88,5.1921,0.253952
SPMD,3.0,2026-04-15,12.71,1.37,18.06,-24.63,0.03,1.47,17.54,6.3012,-0.122753
VHT,3.0,2026-04-15,3.96,1.72,13.84,-17.84,0.09,0.23,16.56,0.8,0.007985
FTEC,3.0,2026-04-15,26.91,0.46,23.53,-27.48,0.084,0.3,21.38,0.8,-0.030254
DGRW,3.0,2026-04-15,13.54,1.43,12.75,-16.79,0.28,0.68,16.95,7.0621,0.098832
BBJP,3.0,2026-04-15,14.67,5.13,18.94,-16.84,0.19,1.53,17.36,,-0.231063
DFAI,3.0,2026-04-15,14.7,2.45,14.36,-13.52,0.18,1.1,16.56,,-0.026348
ESGU,3.0,2026-04-15,18.39,1.07,15.34,-19.54,0.15,0.72,17.66,5.5096,-0.056226
