ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
AVUS,3.0,2026-04-15,18.43,1.04,15.47,-20.26,0.15,0.3,10.91,0.167898,2026-05-22
DFAX,3.0,2026-04-15,15.89,2.51,14.47,-14.21,0.28,0.64,10.52,-0.21959,2026-05-22
VSS,3.0,2026-04-15,12.07,3.35,14.82,-17.57,0.06,0.35,12.77,-0.028032,2026-05-22
ESGD,3.0,2026-04-15,11.74,3.59,15.32,-13.98,0.2,0.35,10.69,-0.08633,2026-05-22
NOBL,3.0,2026-04-15,5.54,2.14,12.81,-16.24,0.35,0.61,11.06,0.152869,2026-05-22
AVLV,3.0,2026-04-15,17.89,1.21,15.36,-20.18,0.15,0.38,10.41,0.305543,2026-05-22
DUHP,3.0,2026-04-15,15.49,1.09,13.97,-18.06,0.2,0.93,10.47,0.0,2026-05-22
VLUE,3.0,2026-04-15,18.47,2.0,16.05,-18.96,0.15,0.49,10.02,0.214312,2026-05-22
DFAU,3.0,2026-04-15,18.44,1.03,15.17,-19.68,0.12,0.6,10.23,0.024152,2026-05-22
ACWX,3.0,2026-04-15,14.03,2.78,15.07,-14.41,0.32,1.44,9.37,0.098219,2026-05-22
EWZ,3.0,2026-04-15,12.72,4.32,24.45,-37.18,0.59,25.05,9.72,0.028267,2026-05-22
SDVY,3.0,2026-04-15,16.18,1.02,19.65,-26.8,0.58,1.16,10.1,-0.003291,2026-05-22
IGF,3.0,2026-04-15,11.72,2.96,13.09,-16.22,0.39,0.63,10.1,-0.049972,2026-05-22
BBCA,3.0,2026-04-15,16.96,1.86,15.01,-13.33,0.19,0.28,10.0,-0.041794,2026-05-22
VDE,3.0,2026-04-15,10.27,2.27,21.53,-22.6,0.09,0.55,13.2,-0.01388,2026-05-22
IGV,3.0,2026-04-15,9.57,0.0,24.46,-36.61,0.39,6.03,10.38,-0.004003,2026-05-22
IJK,3.0,2026-04-15,14.57,0.62,18.81,-25.9,0.17,0.33,9.91,0.017259,2026-05-22
PBUS,3.0,2026-04-15,19.26,1.14,15.11,-19.33,0.04,0.3,9.38,0.038784,2026-05-22
GDXJ,3.0,2026-04-15,48.03,2.23,40.57,-32.92,0.51,5.75,9.02,0.105523,2026-05-22
FNDA,3.0,2026-04-15,12.74,1.21,19.79,-26.43,0.25,0.78,9.28,0.254088,2026-05-22
SCHH,3.0,2026-04-15,5.65,3.03,16.91,-19.51,0.07,5.68,9.15,-0.083709,2026-05-22
CGUS,3.0,2026-04-15,20.02,1.0,14.44,-18.27,0.33,0.79,8.85,0.0,2026-05-22
EZU,3.0,2026-04-15,13.79,2.92,17.06,-15.02,0.5,2.3,9.07,-0.139648,2026-05-22
CGGO,3.0,2026-04-15,16.69,2.11,16.23,-17.93,0.47,0.81,8.81,0.0,2026-05-22
PVAL,3.0,2026-04-15,20.13,0.98,13.74,-15.98,0.55,0.51,8.82,0.16076,2026-05-22
QLD,3.0,2026-04-15,43.9,0.19,39.25,-42.34,0.95,6.94,8.35,-0.13378,2026-05-22
FNDE,3.0,2026-04-15,14.93,4.04,17.1,-21.47,0.39,0.83,8.71,-0.024287,2026-05-22
AIRR,3.0,2026-04-15,38.74,0.16,25.43,-28.08,0.69,0.36,8.39,0.237505,2026-05-22
CIBR,3.0,2026-04-15,14.16,0.65,21.65,-22.34,0.58,0.77,9.49,0.154398,2026-05-22
ONEQ,3.0,2026-04-15,25.08,0.83,19.91,-24.36,0.21,0.29,8.6,0.15542,2026-05-22
BBEU,3.0,2026-04-15,12.18,3.0,15.13,-14.49,0.09,0.75,8.54,-0.133196,2026-05-22
PRF,3.0,2026-04-15,16.24,1.56,13.32,-16.62,0.34,0.39,8.75,0.245363,2026-05-22
VPU,3.0,2026-04-15,10.15,2.57,16.02,-19.99,0.09,0.22,10.79,0.029692,2026-05-22
FDVV,3.0,2026-04-15,14.11,3.0,12.88,-17.16,0.15,0.53,8.53,0.257276,2026-05-22
MGC,3.0,2026-04-15,20.59,1.02,15.45,-19.52,0.05,0.11,9.36,-0.040151,2026-05-22
IEUR,3.0,2026-04-15,11.83,3.01,15.55,-14.25,0.1,0.94,8.33,-0.12883,2026-05-22
SHLD,2.6,2026-04-15,53.13,0.51,20.86,-15.06,0.5,0.65,8.08,0.140584,2026-05-22
DBEF,3.0,2026-04-15,13.24,5.49,13.84,-14.62,0.35,0.63,8.18,-0.121717,2026-05-22
JGRO,3.0,2026-04-15,23.1,0.17,19.23,-22.7,0.44,0.32,8.18,0.648345,2026-05-22
VIGI,3.0,2026-04-15,7.08,2.27,13.29,-15.3,0.07,0.29,8.76,0.004126,2026-05-22
SPYI,3.0,2026-04-15,2.44,12.5,13.02,-18.53,0.68,1.26,8.12,0.109724,2026-05-22
GRID,3.0,2026-04-15,23.14,0.92,19.14,-20.9,0.56,0.19,7.65,0.059603,2026-05-22
DFAE,3.0,2026-04-15,16.71,2.18,16.71,-18.76,0.29,0.8,7.7,0.918204,2026-05-22
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,8.09,0.288894,2026-05-22
IGM,3.0,2026-04-15,33.52,0.18,23.33,-26.42,0.39,0.4,7.75,0.027068,2026-05-22
XBI,3.0,2026-04-15,18.5,0.35,27.06,-33.0,0.35,9.55,7.43,0.087684,2026-05-22
IDV,3.0,2026-04-15,16.06,4.63,14.63,-14.21,0.5,0.77,7.94,0.173007,2026-05-22
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,7.85,0.164767,2026-05-22
IJJ,3.0,2026-04-15,10.86,1.77,18.35,-23.35,0.18,0.19,7.98,0.010708,2026-05-22
DFEM,3.0,2026-04-15,16.36,2.26,16.24,-18.81,0.39,0.67,7.46,0.0,2026-05-22
IBB,3.0,2026-04-15,9.67,0.23,19.73,-25.06,0.44,1.65,8.12,-0.076654,2026-05-22
QYLD,3.0,2026-04-15,0.64,11.93,13.35,-20.58,0.6,5.51,8.08,0.135791,2026-05-22
IOO,3.0,2026-04-15,22.26,0.96,15.91,-19.19,0.4,0.17,7.59,0.103237,2026-05-22
VPL,3.0,2026-04-15,15.77,3.3,17.31,-18.25,0.07,0.65,11.86,0.155272,2026-05-22
VDC,3.0,2026-04-15,4.58,2.15,11.95,-12.78,0.09,0.14,9.24,0.233916,2026-05-22
FTCS,3.0,2026-04-15,8.32,1.11,11.3,-13.22,0.52,0.35,7.85,-0.059307,2026-05-22
AIQ,3.0,2026-04-15,29.21,0.2,22.53,-26.35,0.68,0.83,7.22,0.078826,2026-05-22
THRO,3.0,2026-04-15,20.56,0.19,15.92,-19.09,0.57,0.51,7.35,0.05788,2026-05-22
