ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
SPYV,3.0,2026-04-14,12.55,1.82,12.76,-18.38,0.04,2.7,31.78,-0.134561,2026-05-22
DYNF,3.0,2026-04-14,23.65,1.03,15.83,-18.98,0.26,1.81,30.01,-0.014195,2026-05-22
GDX,3.0,2026-04-14,41.52,0.69,36.42,-30.84,0.51,22.52,28.16,0.005344,2026-05-22
CGDV,3.0,2026-04-14,21.57,1.34,13.66,-14.53,0.33,2.59,29.11,0.206866,2026-05-22
VGK,3.0,2026-04-14,11.69,3.01,15.51,-14.65,0.06,2.93,36.61,-0.082215,2026-05-22
XLI,3.0,2026-04-14,20.2,1.27,16.13,-19.15,0.08,9.94,28.33,-0.220554,2026-05-22
EFV,3.0,2026-04-14,16.2,4.01,14.94,-13.72,0.31,2.69,28.64,0.004547,2026-05-22
ACWI,3.0,2026-04-14,16.74,1.59,14.38,-16.55,0.32,3.38,28.21,0.085814,2026-05-22
MGK,3.0,2026-04-14,24.58,0.39,19.92,-23.53,0.05,0.37,27.85,0.232623,2026-05-22
IDEV,3.0,2026-04-14,12.68,3.37,14.96,-13.5,0.04,1.13,27.53,-0.042414,2026-05-22
TQQQ,3.0,2026-04-14,54.95,0.75,58.59,-58.3,0.82,144.82,24.59,0.072766,2026-05-22
IUSG,3.0,2026-04-14,23.31,0.58,18.61,-22.38,0.04,0.51,25.97,0.287339,2026-05-22
EEM,3.0,2026-04-14,15.53,2.16,17.67,-18.67,0.72,29.08,24.91,0.075148,2026-05-22
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,81.52,-0.00718,2026-05-22
XLU,3.0,2026-04-14,10.51,2.59,16.14,-19.69,0.08,25.61,24.42,-0.325622,2026-05-22
MDY,3.0,2026-04-14,12.77,1.16,18.16,-24.5,0.23,0.91,24.22,-0.03269,2026-05-22
SOXX,3.0,2026-04-14,41.08,0.51,35.24,-41.67,0.34,4.56,20.59,0.046244,2026-05-22
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,24.08,0.317251,2026-05-22
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,24.11,-0.303708,2026-05-22
AVUV,3.0,2026-04-14,16.19,1.41,21.56,-29.36,0.25,0.81,23.43,-0.131837,2026-05-22
FNDX,3.0,2026-04-14,16.11,1.62,13.33,-17.01,0.25,2.76,23.67,0.291838,2026-05-22
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,21.24,0.082389,2026-05-22
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,22.56,0.264064,2026-05-22
DVY,3.0,2026-04-14,8.88,3.46,14.34,-17.46,0.38,0.52,22.29,0.139262,2026-05-22
MTUM,3.0,2026-04-14,22.97,0.82,19.85,-21.2,0.15,0.77,20.24,0.048065,2026-05-22
VOOG,3.0,2026-04-14,23.85,0.54,18.86,-22.3,0.07,0.19,20.82,0.207929,2026-05-22
