Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),11.55,29.21
Capital Gain CAGR (%),11.72,32.60
Dividend Yield (%),3.49,1.80
"Estimated Total Return, No Reinvestment (%)",15.21,34.40
Expense Ratio (%),0.187,0.479
Annualized Volatility (%),9.68,13.95
Maximum Drawdown (%),-10.07,-14.33
Liquidity Volume (Millions),2.06,0.57
Liquidity AUM (Billions),22.33,12.32
True Portfolio HHI (Real),0.1205,0.1704
Weighted Sentiment Score,0.1738,0.0146
Sharpe Ratio,0.780,1.807
