ETF,偏好組合 Weight (%),最大夏普 Weight (%)
VXF,38.72,0.0
IUSG,16.89,0.0
SCHG,16.53,0.0
SPMO,16.37,40.0
SCHF,6.12,0.0
SCHA,5.37,0.0
ITA,0.0,10.36
EMLP,0.0,40.0
HDV,0.0,9.64
