Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),26.00,29.24
Capital Gain CAGR (%),27.43,32.65
Dividend Yield (%),1.05,1.80
"Estimated Total Return, No Reinvestment (%)",28.47,34.45
Expense Ratio (%),0.058,0.479
Annualized Volatility (%),18.74,13.96
Maximum Drawdown (%),-22.26,-14.33
Liquidity Volume (Millions),2.41,0.57
Liquidity AUM (Billions),35.88,12.32
True Portfolio HHI (Real),0.1760,0.1706
Weighted Sentiment Score,0.0685,0.0144
Sharpe Ratio,1.174,1.809
