Strategy,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%
Preference_Driven,129.10647058627836,12.713964326711524,13.401632297687952,16.708243944010707,0.5626942202419837,-36.130796271650375,1000000.0,2291064.70586278,1291064.70586278,129.106470586278,1990303.0631809295,300761.64268185064,2291064.70586278,99.03030631809295,30.076164268185064,129.106470586278
EqualWeight,128.81017279848228,12.692908180075356,13.500354934287676,17.39963511115689,0.5460088601625854,-35.85122721242606,1000000.0,2288101.72798481,1288101.7279848098,128.81017279848098,2068354.5462925683,219747.1816922414,2288101.72798481,106.83545462925683,21.97471816922414,128.81017279848098
MaxSharpe,115.8466326725581,11.747997165595514,13.14034637556263,20.00643246179213,0.45687037871537933,-32.698003242596705,1000000.0,2158466.326725592,1158466.326725592,115.8466326725592,2003559.6070710684,154906.71965452342,2158466.326725592,100.35596070710685,15.490671965452341,115.8466326725592
VT,152.62622553653472,14.315426506959227,15.094562244022846,18.3031808646362,0.6061548714441644,-33.716298044601324,1000000.0,2526262.255365349,1526262.255365349,152.6262255365349,2342870.849657111,183391.40570823822,2526262.255365349,134.2870849657111,18.339140570823822,152.6262255365349
VOO,192.64426676922417,16.768145903288413,17.442916564173533,19.486419895951183,0.6898607664184969,-33.67074724426089,1000000.0,2926442.6676922445,1926442.6676922445,192.64426676922446,2789915.0074234926,136527.66026875188,2926442.6676922445,178.99150074234927,13.652766026875188,192.64426676922446
