Strategy,Avg_Period_Return,Avg_Preference_Score,Avg_Score_Return_CAGR,Avg_Score_Return_Div,Avg_Score_Risk_Vol,Avg_Score_Risk_MaxDD,Avg_Score_Cost,Avg_Score_Liq_Volume,Avg_Score_Liq_AUM,Avg_Score_Div_Score,Avg_Score_FinBERT,Avg_Utility_Portfolio_Volatility,Avg_Raw_Return_CAGR_%,Avg_Raw_Dividend_Yield_%,Avg_Raw_Expense_Ratio_%,Avg_Raw_Liquidity_Volume_M,Avg_Raw_Liquidity_AUM_B,Avg_Raw_FinBERT_Score,Avg_Raw_Portfolio_Volatility_%,Avg_Raw_Portfolio_MaxDD_%,Avg_Raw_Sector_HHI,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%,Return_Uses_Adjusted_Close,Dividend_Included_In_Total_Return_Note,Periodic_Contribution
Preference_Driven,0.037226375565617524,0.6250936137478912,0.3831752595745744,0.7262601956760938,0.6008660481248368,0.5095837269252604,0.969275699726661,0.7012299804844273,0.9036372606828743,0.8759286997385146,0.0811922751359552,0.16780946941253588,9.825263813204822,3.334862316298509,0.05419538646525436,6.684494194644468,95.43115969973721,0.012704799318479832,16.780946941253593,-24.704939377579844,0.12407130026148531,129.10647058627836,12.713964326711524,13.401632297687952,16.708243944010707,0.5626942202419837,-36.130796271650375,1000000.0,2291064.70586278,1291064.70586278,129.106470586278,1990303.0631809295,300761.64268185064,2291064.70586278,99.03030631809295,30.076164268185064,129.106470586278,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VOO,0.04419345611453597,0.6152588178730495,0.44206975081760863,0.26929169495360944,0.4849105598537295,1.0,1.0,0.6272534051318399,1.0,0.8265134546299999,0.02899098025310032,0.1933196768321795,14.45725357142857,1.19,0.03,4.459274922598206,994.36,-0.015963821428571428,19.33196768321795,-27.063582173855085,0.17348654537000002,192.64426676922417,16.768145903288413,17.442916564173533,19.486419895951183,0.6898607664184969,-33.67074724426089,1000000.0,2926442.6676922445,1926442.6676922445,192.64426676922446,2789915.0074234926,136527.66026875188,2926442.6676922445,178.99150074234927,13.652766026875188,192.64426676922446,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VT,0.03944843974155495,0.6152263617684538,0.39120289925192603,0.411857886399638,0.531684234596596,1.0,0.9619047619047618,0.41996786041099926,0.9184835516853215,0.833429614233,0.08817333732011032,0.18302946838874887,10.779678571428573,1.82,0.06,2.1055540780268402,76.01,0.022158214285714288,18.302946838874885,-27.383028053287713,0.166570385767,152.62622553653472,14.315426506959227,15.094562244022846,18.3031808646362,0.6061548714441644,-33.716298044601324,1000000.0,2526262.255365349,1526262.255365349,152.6262255365349,2342870.849657111,183391.40570823822,2526262.255365349,134.2870849657111,18.339140570823822,152.6262255365349,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
EqualWeight,0.03529392855033987,0.5612091438790829,0.4062497242328802,0.4554785849735519,0.5854015132864078,0.6152080595747507,0.84487256098065,0.37443043724448816,0.6038197538730797,0.8778983333861783,0.0692049073041943,0.1712116670769903,11.514377270305953,2.2446159502174905,0.1538818321954931,3.4107119618287944,68.09536245278765,0.005670809786628137,17.12116670769903,-24.13910978492574,0.12210166661382171,128.81017279848228,12.692908180075356,13.500354934287676,17.39963511115689,0.5460088601625854,-35.85122721242606,1000000.0,2288101.72798481,1288101.7279848098,128.81017279848098,2068354.5462925683,219747.1816922414,2288101.72798481,106.83545462925683,21.97471816922414,128.81017279848098,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
MaxSharpe,0.03214448065213071,0.5425181839266165,0.5133485123726123,0.3310299074815112,0.5431596467546137,0.7501969301191763,0.7091967734674662,0.4430497217040887,0.5293115457658318,0.7065816790053286,0.07313371227233503,0.180504877713985,19.59589985867634,1.5018001960007688,0.2750908167011562,9.021146524873462,59.489184039683344,0.009252758133566933,18.0504877713985,-20.61007832809604,0.29341832099467124,115.8466326725581,11.747997165595514,13.14034637556263,20.00643246179213,0.45687037871537933,-32.698003242596705,1000000.0,2158466.326725592,1158466.326725592,115.8466326725592,2003559.6070710684,154906.71965452342,2158466.326725592,100.35596070710685,15.490671965452341,115.8466326725592,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
