Strategy,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%
Preference_Driven,186.3194737742288,16.400396878567804,17.180112103782175,19.742488297352583,0.667601363377766,-33.45812050517106,1000000.0,2863194.7377422974,1863194.7377422974,186.31947377422972,2662289.5540710283,200905.18367126925,2863194.7377422974,166.22895540710283,20.090518367126926,186.31947377422972
EqualWeight,127.39132747573207,12.591754649734055,13.413637696215334,17.41858951347402,0.5404362786627174,-35.85122721242611,1000000.0,2273913.27475733,1273913.2747573298,127.39132747573298,2055023.2225502932,218890.0522070368,2273913.27475733,105.50232225502931,21.889005220703677,127.39132747573298
MaxSharpe,113.66539202370896,11.584257814202804,12.991944721190517,19.999384275148092,0.44961107789524357,-32.69800324259664,1000000.0,2136653.9202370816,1136653.9202370816,113.66539202370815,1982541.3880330957,154112.53220398576,2136653.9202370816,98.25413880330957,15.411253220398576,113.66539202370815
VT,152.62622553653472,14.315426506959227,15.094562244022846,18.3031808646362,0.6061548714441644,-33.716298044601324,1000000.0,2526262.255365349,1526262.255365349,152.6262255365349,2342870.849657111,183391.40570823822,2526262.255365349,134.2870849657111,18.339140570823822,152.6262255365349
VOO,192.64426676922417,16.768145903288413,17.442916564173533,19.486419895951183,0.6898607664184969,-33.67074724426089,1000000.0,2926442.6676922445,1926442.6676922445,192.64426676922446,2789915.0074234926,136527.66026875188,2926442.6676922445,178.99150074234927,13.652766026875188,192.64426676922446
