Date,Preference_Driven,EqualWeight,MaxSharpe,VT,VOO
2019-07-02,68.4194654761905,71.09279609279608,45.698393650793655,72.22222222222223,47.22222222222222
2019-07-03,136.9738090225369,142.34844919664988,91.71703637525356,144.54923844062847,94.58188044548524
2019-07-05,205.95880530247416,214.202696098909,138.08068965411144,217.34305669584117,142.30511767772987
2019-07-08,274.57486229002654,285.9442342647195,184.4008202227495,289.8511102978175,189.96745690407704
2019-07-09,342.7393679644369,357.37573863814106,230.598766250984,362.01618125755544,237.39146646168868
2019-07-10,410.73415057312417,428.77096125944485,276.89057717461367,434.06693301069527,284.8746326534405
2019-07-11,478.9849221092008,500.349683782351,323.34133872300094,506.47018427567286,332.5787442114183
2019-07-12,547.2756837185742,571.9766787451088,369.87083253741827,578.9115447231214,380.3785400293507
2019-07-15,615.7030950013013,643.9231082593208,416.4139558049303,651.6005940045943,428.41319159702306
2019-07-16,684.1370978259617,715.8443279729214,463.05263616519477,724.30870204771,476.4600268839838
2019-07-17,752.3257479287253,787.5920883779681,509.4517674008178,796.7691045751719,524.3502887296115
2019-07-18,820.3697980153438,858.9529782989542,555.8291721981622,868.8865328012101,571.9169554620295
2019-07-19,888.637591365376,930.6400412112079,602.5031543369624,941.2993259582313,619.6576034703407
2019-07-22,956.7044084495349,1001.9437193724216,648.722096065618,1013.4263044171278,667.1425139753562
2019-07-23,1024.9108895504298,1073.193012888662,695.0093723031468,1085.6294845593366,714.7422373560994
2019-07-24,1093.5198388201602,1144.918231254098,741.3341480619672,1158.2994750791665,762.6690238860351
2019-07-25,1162.2993813376615,1217.0549970274246,787.8552612411905,1231.2076459042362,810.8167763727413
2019-07-26,1230.4236134556775,1288.8562963891775,834.1733549902672,1303.5918300667563,858.7296554606695
2019-07-29,1298.8524614214207,1361.0797721612903,880.7518830067501,1376.3380306107135,906.9852435700489
2019-07-30,1367.217733501397,1433.2364674517535,927.3708075084899,1449.0175380001428,955.1538542782602
2019-07-31,1435.076159868963,1505.3241488785027,973.7380390231829,1521.2778777456508,1003.205898972961
2019-08-01,1502.4099835415511,1576.6685232974821,1019.7284347405372,1592.880886223627,1050.7134208372643
2019-08-02,1569.3078653658533,1647.3496853020367,1065.6893446529864,1663.912265305354,1097.8225597894907
2019-08-05,1635.6372501809972,1717.645442541842,1111.3524080540233,1734.2863298011785,1144.5872365824832
2019-08-06,1700.1555480132884,1786.0850916373988,1155.8822608226342,1802.6978631487118,1189.9723321913023
2019-08-07,1765.186075746179,1855.2449662603335,1201.00107362419,1871.8715509528124,1235.9419639413543
2019-08-08,1830.5162581892585,1924.5219697889418,1246.2561812043862,1941.2453057092744,1281.9429168509869
2019-08-09,1896.7014314987814,1994.9610218753826,1292.24495948617,2011.6955468659673,1328.841532193974
2019-08-12,1962.3875403848078,2064.917745606219,1338.0724796012664,2081.602775961727,1375.413104978313
2019-08-13,2027.429569975755,2134.1344013632356,1383.521642274445,2150.7764637658274,1421.438407677484
2019-08-14,2093.175577431638,2204.1381562428455,1429.406036060823,2220.8266043810563,1468.1769844846617
2019-08-15,2157.1894162939384,2272.3029562384913,1474.3726207967434,2288.8284744430453,1513.5081593406378
2019-08-16,2221.304177771266,2340.638452482045,1519.6351483748158,2357.078045850281,1558.9819825469012
2019-08-19,2286.2968692615655,2409.9701055877035,1565.3872620075354,2426.2707757343946,1605.1221010633064
2019-08-20,2351.719826975861,2480.0273586042917,1611.5660886720113,2496.0541520723273,1651.8293802429544
2019-08-21,2416.904288570716,2549.5411208978667,1657.5630556550725,2565.456478289624,1698.174798253327
2019-08-22,2482.646785309409,2619.572233257221,1703.937365972301,2635.4399591135843,1744.8959760504633
2019-08-23,2548.2176237770764,2689.6759009074462,1750.3181548564928,2705.280511736445,1791.599760720571
2019-08-26,2612.7323255879214,2758.1466532738536,1795.7765320665076,2773.682519873564,1837.1048992034023
2019-08-27,2677.7582883970395,2827.2424506752454,1841.744083266665,2842.7514261927026,1883.1145472057958
2019-08-28,2742.6646751023322,2895.9684660932176,1887.6808673162916,2911.6012109682442,1928.9432631527986
2019-08-29,2807.704905213049,2965.213947169437,1933.6805315256152,2980.8034660627723,1975.0903530392457
2019-08-30,2873.3904880203586,3035.186808303214,1980.161073885401,3050.7774133355038,2021.8376278806907
2019-09-03,2939.3110435803565,3105.259834574818,2026.6362593060755,3120.8751883436175,2068.565762340337
2019-09-04,3004.8674861959134,3175.0908559656673,2073.25975684363,3190.601417589473,2115.034682436186
2019-09-05,3071.326657971551,3245.6295331630054,2120.2074408846443,3261.185020032777,2162.0011495060744
2019-09-06,3138.4196330828017,3316.8393840798412,2167.304548442784,3332.568923648786,2209.588695050542
2019-09-09,3205.6458482745315,3388.1635537701636,2214.3130825113653,3404.0766550001777,2257.211047439611
2019-09-10,3272.9407904183736,3459.7588219493937,2261.0837257793983,3475.641554295683,2304.8455688404365
2019-09-11,3340.37411684435,3531.637558087876,2307.81731671072,3547.235012540801,2352.490532588793
2019-09-12,3408.30625473326,3604.1492656545306,2354.967718020113,3619.3334070276405,2400.478199475588
2019-09-13,3476.5594464074215,3676.794226957966,2402.2705269896833,3691.7556920318166,2448.606814522002
2019-09-16,3545.054268624911,3749.3508011903846,2449.3633538608783,3764.3208885554627,2496.7232282000896
2019-09-17,3613.174449052372,3821.769631529426,2496.441439035208,3836.6193458242565,2544.6813329480997
2019-09-18,3681.509252293632,3894.296641845476,2543.802899584317,3909.060706271705,2592.769922917653
2019-09-19,3749.7185287885873,3966.8007319273297,2591.2576191743815,3981.444890434225,2640.888072084485
2019-09-20,3818.1143353690245,4039.2265574891626,2638.8196456533956,4053.8767173304445,2688.995793611318
2019-09-23,3886.2619035684047,4111.469116743628,2686.3234763383957,4126.070372262239,2736.846033321591
2019-09-24,3954.345879038067,4183.791256626838,2733.8480051328984,4198.244985114021,2784.72932968019
2019-09-25,4022.0902494271754,4255.721545877308,2781.381666458125,4269.945305877374,2832.21597567395
2019-09-26,4089.8276471766603,4327.9725781684665,2829.088539413617,4341.798922474528,2879.9931424835568
2019-09-27,4157.666114874487,4400.148714522544,2876.867194070293,4413.681273178404,2927.676095786382
2019-09-30,4225.137689513218,4472.122037952646,2924.349384795925,4485.113303295367,2975.0916073321578
2019-10-01,4271.05345769498,4554.527096275559,2997.6694490018294,4556.804015440159,3022.7413480868217
2019-10-02,4316.475813153173,4635.924138484494,3070.4576266932268,4627.728181689432,3069.81776278094
2019-10-03,4361.152129863838,4716.092932031157,3142.1669830683804,4697.483391096043,3116.063881420058
2019-10-04,4406.184604487047,4796.802347988223,3214.2174830355166,4767.775173454622,3162.67707946071
2019-10-07,4451.711240777147,4878.434253116611,3287.2993987839113,4838.814334516485,3209.9370265018297
2019-10-08,4497.1072864909365,4959.725575528836,3360.062693163258,4909.623539316427,3256.994212568959
2019-10-09,4541.901507712801,5039.9334852506,3431.993765027275,4979.50330627971,3303.320743167079
2019-10-10,4587.086943082969,5120.662726376042,3504.383377004106,5049.967551664324,3350.079025125274
2019-10-11,4632.566845553757,5201.8417672927435,3576.9552133343227,5120.920502065207,3397.155439819392
2019-10-14,4678.651191104088,5283.768483011722,3649.6613471283235,5192.822028302132,3444.7230360678154
2019-10-15,4724.627824887759,5365.5279781368745,3722.0985763338585,5264.541491235275,3492.246924473432
2019-10-16,4771.098216076934,5447.809095355764,3794.6786157277347,5337.008341212519,3540.2305320814685
2019-10-17,4817.5308316041055,5530.028126153665,3867.2945938055627,5409.436865146108,3588.138975377826
