Strategy,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%
Preference_Driven,60.27259314566267,17.758242418855062,16.897377571647304,10.1967670960022,1.2648496773750888,-10.704778558175176,1000000.0,1602725.931456628,602725.931456628,60.2725931456628,1468340.568624976,134385.36283165196,1602725.931456628,46.83405686249761,13.438536283165195,60.2725931456628
EqualWeight,58.9091895245222,17.41013185557232,16.82468208506676,12.210576512952281,1.0502929219978328,-15.459576642566342,1000000.0,1589091.8952452221,589091.8952452221,58.90918952452221,1507880.177935728,81211.71730949411,1589091.8952452221,50.78801779357281,8.121171730949412,58.90918952452221
MaxSharpe,45.255149424804465,13.811088476384725,13.933492936406337,13.945192584864321,0.7123238260035103,-19.993424008353944,1000000.0,1452551.4942480423,452551.49424804235,45.25514942480424,1389372.2083951589,63179.28585288352,1452551.4942480423,38.93722083951589,6.317928585288351,45.25514942480424
VT,75.9642192994952,21.632217449247328,20.596453504927876,13.98224261594316,1.1869664946311171,-15.870567140851566,1000000.0,1759642.192994949,759642.192994949,75.9642192994949,1692950.8673366068,66691.32565834199,1759642.192994949,69.29508673366068,6.6691325658341984,75.9642192994949
VOO,79.07249995197327,22.372512038145675,21.29429875458398,14.6156038199509,1.1832763782893836,-18.24569784269514,1000000.0,1790724.9995197398,790724.9995197398,79.07249995197397,1745581.962525953,45143.036993786794,1790724.9995197398,74.55819625259531,4.514303699378679,79.07249995197397
