Strategy,Avg_Period_Return,Avg_Preference_Score,Avg_Score_Return_CAGR,Avg_Score_Return_Div,Avg_Score_Risk_Vol,Avg_Score_Risk_MaxDD,Avg_Score_Cost,Avg_Score_Liq_Volume,Avg_Score_Liq_AUM,Avg_Score_Div_Score,Avg_Score_FinBERT,Avg_Utility_Portfolio_Volatility,Avg_Raw_Return_CAGR_%,Avg_Raw_Dividend_Yield_%,Avg_Raw_Expense_Ratio_%,Avg_Raw_Liquidity_Volume_M,Avg_Raw_Liquidity_AUM_B,Avg_Raw_FinBERT_Score,Avg_Raw_Portfolio_Volatility_%,Avg_Raw_Portfolio_MaxDD_%,Avg_Raw_Sector_HHI,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%,Return_Uses_Adjusted_Close,Dividend_Included_In_Total_Return_Note,Periodic_Contribution
Preference_Driven,0.04239037302149589,0.7302924813340327,0.29451326290543006,0.642399590747312,0.9016648314038213,0.90487446195158,0.6322721398690111,0.4261647348947925,0.44906815123948546,0.8454674178776215,0.16248245511158002,0.10110998666010551,11.064091613851806,3.7855765882730963,0.29844133789562194,3.314073227409146,19.54172850105166,0.004172495423022979,10.11099866601055,-9.304295150617143,0.1545325821223785,60.27259314566267,17.758242418855062,16.897377571647304,10.1967670960022,1.2648496773750888,-10.704778558175176,1000000.0,1602725.931456628,602725.931456628,60.2725931456628,1468340.568624976,134385.36283165196,1602725.931456628,46.83405686249761,13.438536283165195,60.2725931456628,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VT,0.05075409901370462,0.7226934974554284,0.3162643942854981,0.41120650700406697,0.6695162267106394,1.0,0.958904109589041,0.43390132446675317,0.9422115074352103,0.8334296142329999,0.20647490353972905,0.15270643012365934,14.684408333333332,1.82,0.06,2.1013946560729804,76.01,0.051702500000000005,15.270643012365936,-17.29442207544435,0.166570385767,75.9642192994952,21.632217449247328,20.596453504927876,13.98224261594316,1.1869664946311171,-15.870567140851566,1000000.0,1759642.192994949,759642.192994949,75.9642192994949,1692950.8673366068,66691.32565834199,1759642.192994949,69.29508673366068,6.6691325658341984,75.9642192994949,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VOO,0.05230722226904692,0.7126458556520999,0.340253655347184,0.2688657930411207,0.630728701240312,1.0,1.0,0.7249558560280726,1.0,0.82651345463,0.07191605502901798,0.16123968572713135,17.303858333333334,1.19,0.03,5.512017553074462,994.36,-0.037248916666666666,16.123968572713135,-17.535584245691393,0.17348654537,79.07249995197327,22.372512038145675,21.29429875458398,14.6156038199509,1.1832763782893836,-18.24569784269514,1000000.0,1790724.9995197398,790724.9995197398,79.07249995197397,1745581.962525953,45143.036993786794,1790724.9995197398,74.55819625259531,4.514303699378679,79.07249995197397,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
EqualWeight,0.041431243020740575,0.6478861531591792,0.30658865375644745,0.47342037679708965,0.7533961225989506,0.6558998375460673,0.8458544777129755,0.41340104330365485,0.61554638947302,0.8782223117843503,0.14938396202993195,0.13425285302823084,13.108146171138293,2.3246313241712717,0.14483676287854674,3.522354046750333,67.69428092187358,0.003929015874846468,13.425285302823085,-14.365009955195331,0.12177768821564972,58.9091895245222,17.41013185557232,16.82468208506676,12.210576512952281,1.0502929219978328,-15.459576642566342,1000000.0,1589091.8952452221,589091.8952452221,58.90918952452221,1507880.177935728,81211.71730949411,1589091.8952452221,50.78801779357281,8.121171730949412,58.90918952452221,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
MaxSharpe,0.03341569553872917,0.6130450528481085,0.37681704695752827,0.38705420510800215,0.7418106361759592,0.698953022281641,0.6681884497944351,0.37639411616788815,0.4831403936912833,0.7741731828921584,0.10898267841538252,0.13680166004128896,20.50573559782332,1.8641898717638588,0.29538855641320344,6.283581826020296,19.082587098168855,-0.0258878464784035,13.680166004128898,-13.010642531939647,0.2258268171078416,45.255149424804465,13.811088476384725,13.933492936406337,13.945192584864321,0.7123238260035103,-19.993424008353944,1000000.0,1452551.4942480423,452551.49424804235,45.25514942480424,1389372.2083951589,63179.28585288352,1452551.4942480423,38.93722083951589,6.317928585288351,45.25514942480424,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
