Strategy,Avg_Period_Return,Avg_Preference_Score,Avg_Score_Return_CAGR,Avg_Score_Return_Div,Avg_Score_Risk_Vol,Avg_Score_Risk_MaxDD,Avg_Score_Cost,Avg_Score_Liq_Volume,Avg_Score_Liq_AUM,Avg_Score_Div_Score,Avg_Score_FinBERT,Avg_Utility_Portfolio_Volatility,Avg_Raw_Return_CAGR_%,Avg_Raw_Dividend_Yield_%,Avg_Raw_Expense_Ratio_%,Avg_Raw_Liquidity_Volume_M,Avg_Raw_Liquidity_AUM_B,Avg_Raw_FinBERT_Score,Avg_Raw_Portfolio_Volatility_%,Avg_Raw_Portfolio_MaxDD_%,Avg_Raw_Sector_HHI,Cumulative_Return_%,CAGR_%,Arithmetic_Annual_Return_%,Annualized_Volatility_%,Sharpe,Max_Drawdown_%,Total_Contributed,Ending_Value,Net_Profit,Profit_on_Contributed_%,Capital_Gain_Ending_Value,Dividend_Cash,Total_Wealth,Capital_Gain_Return_%,Dividend_Income_Return_%,Total_Wealth_Return_%,Return_Uses_Adjusted_Close,Dividend_Included_In_Total_Return_Note,Periodic_Contribution
Preference_Driven,0.03650838111032141,0.595784637991784,0.38201388293024463,0.6882136089235967,0.6035684146143666,0.5127855159933223,0.9660020364160188,0.663667060187638,0.8988311300404899,0.875709998934375,0.08703813597826666,0.16721494878483936,9.787885631612427,3.1539034360786458,0.056773396322385164,6.26912099153392,94.62015010300527,0.016636628468440284,16.721494878483938,-24.73324066340873,0.12429000106562504,128.48019405108388,12.669431048386649,13.33348945107679,16.55294904391479,0.5638565929439611,-33.97072342791666,1000000.0,2284801.940510833,1284801.9405108332,128.48019405108332,1995298.9270650016,289503.0134458314,2284801.940510833,99.52989270650015,28.95030134458314,128.48019405108332,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VT,0.03944843974155495,0.592440363593901,0.39120289925192603,0.411857886399638,0.531684234596596,1.0,0.9619047619047618,0.41996786041099926,0.9184835516853215,0.833429614233,0.08817333732011032,0.18302946838874887,10.779678571428573,1.82,0.06,2.1055540780268402,76.01,0.022158214285714288,18.302946838874885,-27.383028053287713,0.166570385767,152.62622553653472,14.315426506959227,15.094562244022846,18.3031808646362,0.6061548714441644,-33.716298044601324,1000000.0,2526262.255365349,1526262.255365349,152.6262255365349,2342870.849657111,183391.40570823822,2526262.255365349,134.2870849657111,18.339140570823822,152.6262255365349,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
VOO,0.04419345611453597,0.5861703734696885,0.44206975081760863,0.26929169495360944,0.4849105598537295,1.0,1.0,0.6272534051318399,1.0,0.82651345463,0.02899098025310032,0.1933196768321795,14.45725357142857,1.19,0.03,4.459274922598206,994.36,-0.015963821428571428,19.33196768321795,-27.063582173855085,0.17348654537,192.64426676922417,16.768145903288413,17.442916564173533,19.486419895951183,0.6898607664184969,-33.67074724426089,1000000.0,2926442.6676922445,1926442.6676922445,192.64426676922446,2789915.0074234926,136527.66026875188,2926442.6676922445,178.99150074234927,13.652766026875188,192.64426676922446,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
EqualWeight,0.035298576447794015,0.5432070384719229,0.40639449837376834,0.45458873434644476,0.5851256630391368,0.6152093465530317,0.844952936466105,0.3724503768982898,0.6043042489972456,0.877775655037634,0.0716356008042127,0.1712723541313899,11.527808505769997,2.2403396899560706,0.1538043075729974,3.392138841275487,65.91484174127135,0.006930808321400298,17.12723541313899,-24.149395047401235,0.12222434496236598,128.8053338596991,12.692564111492931,13.505211149793887,17.429331274657216,0.5453571912775996,-35.85122721242611,1000000.0,2288053.3385969987,1288053.3385969987,128.80533385969989,2068650.9648510502,219402.37374594857,2288053.3385969987,106.86509648510503,21.940237374594858,128.80533385969989,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
MaxSharpe,0.031948723254194095,0.5091097162605834,0.5131972505575797,0.33017164593852594,0.5429055001753084,0.7495080336156458,0.7094352673585398,0.44434455469381723,0.5250652175966185,0.7064262466098806,0.07797156497522084,0.18056078996143216,19.585030915199845,1.49806078427671,0.274945468937848,9.04256209732731,59.0814201591745,0.011504051107793801,18.056078996143217,-20.62587032480295,0.2935737533901194,114.72512202462744,11.66398639005244,13.063964019902622,20.001493927221787,0.4531643512671159,-32.69800324259666,1000000.0,2147251.220246275,1147251.220246275,114.7251220246275,1992909.8932973864,154341.32694888877,2147251.220246275,99.29098932973864,15.434132694888877,114.7251220246275,False,"Total performance separates capital gains and estimated cash dividends. If close-price cache is missing, capital gains may still fall back to adjusted-price data.",0.0
