Metric,Preference-Driven,Max Sharpe
Arithmetic Annual Return (%),20.39,29.15
Capital Gain CAGR (%),21.54,32.52
Dividend Yield (%),2.72,1.80
"Estimated Total Return, No Reinvestment (%)",24.26,34.32
Expense Ratio (%),0.039,0.479
Annualized Volatility (%),13.28,13.96
Maximum Drawdown (%),-14.26,-14.33
Liquidity Volume (Millions),9.33,0.57
Liquidity AUM (Billions),363.46,12.32
True Portfolio HHI (Real),0.1251,0.1704
Weighted Sentiment Score,0.0217,0.0146
Sharpe Ratio,1.235,1.801
