ETF,偏好組合 Weight (%),最大夏普 Weight (%)
SCHF,40.0,0.0
VOO,31.119999999999997,0.0
SCHD,28.88,0.0
HDV,0.0,9.75
SPMO,0.0,40.0
EMLP,0.0,40.0
ITA,0.0,10.25
