Rebalance_Date,ETF,Weight
2021-12-31,PTLC,0.030963
2021-12-31,USMV,0.0
2021-12-31,SPY,0.0
2021-12-31,VYM,0.0
2021-12-31,VT,0.0
2021-12-31,DGRO,0.0
2021-12-31,USMC,0.0
2021-12-31,PBUS,0.0
2021-12-31,SPYG,0.0
2021-12-31,SPYV,0.0
2021-12-31,QQQ,0.0
2021-12-31,SCHC,0.0
2021-12-31,VTHR,0.0
2021-12-31,DGRW,0.0
2021-12-31,FNDF,0.0
2021-12-31,VO,0.0
2021-12-31,EQWL,0.0
2021-12-31,ILCG,0.0
2021-12-31,XLK,0.0
2021-12-31,IMCG,0.0
2021-12-31,VOT,0.0
2021-12-31,VB,0.0
2021-12-31,SPSM,0.0
2021-12-31,SPMD,0.0
2022-01-31,XLP,0.4
2022-01-31,QYLD,0.100877
2022-01-31,SCHF,0.293438
2022-01-31,SCHD,0.0
2022-01-31,DIVO,0.0
2022-01-31,VIG,0.0
2022-01-31,XLV,0.0
2022-01-31,USPX,0.205684
2022-01-31,PTLC,0.0
2022-01-31,USMV,0.0
2022-01-31,VYM,0.0
2022-01-31,SPY,0.0
2022-01-31,VT,0.0
2022-01-31,DGRO,0.0
2022-01-31,SCHE,0.0
2022-01-31,USMC,0.0
2022-01-31,PBUS,0.0
2022-01-31,SPYG,0.0
2022-01-31,SCHC,0.0
2022-01-31,DGRW,0.0
2022-01-31,VTHR,0.0
2022-01-31,IUSV,0.0
2022-01-31,FNDF,0.0
2022-01-31,VO,0.0
2022-01-31,EQWL,0.0
2022-01-31,XLK,0.0
2022-01-31,ILCG,0.0
2022-01-31,SPYD,0.0
2022-01-31,VB,0.0
2022-01-31,SPMD,0.0
2022-01-31,SPSM,0.0
2022-02-28,XLP,0.4
2022-02-28,QYLD,0.100877
2022-02-28,SCHF,0.2859
2022-02-28,SCHD,0.0
2022-02-28,DIVO,0.0
2022-02-28,VIG,0.0
2022-02-28,XLV,0.0
2022-02-28,USPX,0.213223
2022-02-28,PTLC,0.0
2022-02-28,USMV,0.0
2022-02-28,VYM,0.0
2022-02-28,SPY,0.0
2022-02-28,VT,0.0
2022-02-28,DGRO,0.0
2022-02-28,SCHE,0.0
2022-02-28,USMC,0.0
2022-02-28,PBUS,0.0
2022-02-28,DGRW,0.0
2022-02-28,SCHC,0.0
2022-02-28,SPYG,0.0
2022-02-28,VTHR,0.0
2022-02-28,IUSV,0.0
2022-02-28,FNDF,0.0
2022-02-28,VO,0.0
2022-02-28,EQWL,0.0
2022-02-28,XLK,0.0
2022-02-28,ILCG,0.0
2022-02-28,SPYD,0.0
2022-02-28,VB,0.0
2022-02-28,SPMD,0.0
2022-02-28,SPSM,0.0
2022-03-31,XLP,0.4
2022-03-31,QYLD,0.107131
2022-03-31,SCHD,0.0
2022-03-31,SCHF,0.218556
2022-03-31,XLV,0.010512
2022-03-31,DIVO,0.0
2022-03-31,VIG,0.0
2022-03-31,USPX,0.222731
2022-03-31,USMV,0.0
2022-03-31,VYM,0.0
2022-03-31,PTLC,0.041069
2022-03-31,SPY,0.0
2022-03-31,VHT,0.0
2022-03-31,DGRO,0.0
2022-03-31,USMC,0.0
2022-03-31,DGRW,0.0
2022-03-31,IXJ,0.0
2022-03-31,PBUS,0.0
2022-03-31,SCHC,0.0
2022-03-31,IUSV,0.0
2022-03-31,SPYG,0.0
2022-03-31,VTHR,0.0
2022-03-31,FNDF,0.0
2022-03-31,EQWL,0.0
2022-03-31,VO,0.0
2022-03-31,XLK,0.0
2022-03-31,ILCG,0.0
2022-03-31,SPYD,0.0
2022-03-31,VB,0.0
2022-03-31,SPMD,0.0
2022-03-31,SPSM,0.0
2022-05-02,XLP,0.4
2022-05-02,SCHD,0.0
2022-05-02,QYLD,0.056899
2022-05-02,SCHF,0.223665
2022-05-02,XLV,0.0
2022-05-02,DIVO,0.0
2022-05-02,VIG,0.0
2022-05-02,USPX,0.240371
2022-05-02,USMV,0.0
2022-05-02,VYM,0.0
2022-05-02,PTLC,0.079066
2022-05-02,SPY,0.0
2022-05-02,VHT,0.0
2022-05-02,DGRO,0.0
2022-05-02,DGRW,0.0
2022-05-02,USMC,0.0
2022-05-02,IXJ,0.0
2022-05-02,SCHE,0.0
2022-05-02,PBUS,0.0
2022-05-02,IUSV,0.0
2022-05-02,SCHC,0.0
2022-05-02,FNDF,0.0
2022-05-02,EQWL,0.0
2022-05-02,SPYG,0.0
2022-05-02,VO,0.0
2022-05-02,XLK,0.0
2022-05-02,ILCG,0.0
2022-05-02,VOE,0.0
2022-05-02,SPYD,0.0
2022-05-02,VB,0.0
2022-05-02,SPMD,0.0
2022-05-02,SPSM,0.0
2022-05-31,XLP,0.4
2022-05-31,SCHD,0.0
2022-05-31,SCHF,0.267472
2022-05-31,XLV,0.022062
2022-05-31,QYLD,0.0
2022-05-31,DIVO,0.0
2022-05-31,VIG,0.0
2022-05-31,USPX,0.176436
2022-05-31,VYM,0.0
2022-05-31,USMV,0.0
2022-05-31,PTLC,0.13403
2022-05-31,SPY,0.0
2022-05-31,VHT,0.0
2022-05-31,DGRO,0.0
2022-05-31,DGRW,0.0
2022-05-31,SCHE,0.0
2022-05-31,USMC,0.0
2022-05-31,IXJ,0.0
2022-05-31,IUSV,0.0
2022-05-31,FNDF,0.0
2022-05-31,PBUS,0.0
2022-05-31,SCHC,0.0
2022-05-31,EQWL,0.0
2022-05-31,SPYG,0.0
2022-05-31,VO,0.0
2022-05-31,XLK,0.0
2022-05-31,VOE,0.0
2022-05-31,ILCG,0.0
2022-05-31,SPYD,0.0
2022-05-31,VB,0.0
2022-05-31,SPMD,0.0
2022-05-31,SPSM,0.0
2022-06-30,XLP,0.4
2022-06-30,SCHD,0.0
2022-06-30,XLV,0.001134
2022-06-30,QYLD,0.0
2022-06-30,SCHF,0.234394
2022-06-30,DIVO,0.0
2022-06-30,VIG,0.0
2022-06-30,USPX,0.228607
2022-06-30,PTLC,0.135865
2022-06-30,VYM,0.0
2022-06-30,USMV,0.0
2022-06-30,VHT,0.0
2022-06-30,SPY,0.0
2022-06-30,DGRO,0.0
2022-06-30,DGRW,0.0
2022-06-30,IXJ,0.0
2022-06-30,SCHE,0.0
2022-06-30,USMC,0.0
2022-06-30,IUSV,0.0
2022-06-30,FNDF,0.0
2022-06-30,PBUS,0.0
2022-06-30,SCHC,0.0
2022-06-30,EQWL,0.0
2022-06-30,SPYG,0.0
2022-06-30,VO,0.0
2022-06-30,XLK,0.0
2022-06-30,VOE,0.0
2022-06-30,SPYD,0.0
2022-06-30,ILCG,0.0
2022-06-30,VB,0.0
2022-06-30,SPMD,0.0
2022-06-30,SPSM,0.0
2022-08-01,XLP,0.4
2022-08-01,SCHD,0.0
2022-08-01,SCHF,0.272108
2022-08-01,XLV,0.021338
